"No.","Time","Source","Destination","Protocol","Length","Text item","Resolved IP","DNS Query"
"10815","327.434544","172.16.1.4","172.16.1.66","DNS","187","â\234\223","","Standard query response 0x0073 Unknown (65) www.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net SOA ns1.a-msedge.net"
"10816","327.434618","172.16.1.4","172.16.1.66","DNS","146","â\234\223","204.79.197.203","Standard query response 0xc005 A www.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203"
"10825","327.709204","172.16.1.4","172.16.1.66","DNS","229","â\234\223","","Standard query response 0x3d3c No such name SRV _ldap._tcp.Default-First-Site-Name._sites.WIRESHARK-WS-DC.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"10827","327.709790","172.16.1.4","172.16.1.66","DNS","198","â\234\223","","Standard query response 0x2b8b No such name SRV _ldap._tcp.WIRESHARK-WS-DC.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"10886","328.169240","172.16.1.4","172.16.1.66","DNS","116","â\234\223","","Standard query response 0x0ab6 Unknown (65) api.msn.com CNAME api-msn-com.a-0003.a-msedge.net"
"10887","328.190775","172.16.1.4","172.16.1.66","DNS","146","â\234\223","204.79.197.203","Standard query response 0x45ef A api.msn.com CNAME api-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203"
"10888","328.190929","172.16.1.4","172.16.1.66","DNS","292","â\234\223","23.53.11.166,23.53.11.164,23.53.11.165,23.53.11.179,23.53.11.176,23.53.11.178,23.53.11.177,23.53.11.175,23.53.11.174","Standard query response 0x473f A assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 23.53.11.166 A 23.53.11.164 A 23.53.11.165 A 23.53.11.179 A 23.53.11.176 A 23.53.11.178 A 23.53.11.177 A 23.53.11.175 A 23.53.11.174"
"10891","328.254690","172.16.1.4","172.16.1.66","DNS","148","â\234\223","","Standard query response 0xa08a Unknown (65) assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net"
"10892","328.254840","172.16.1.66","172.16.1.4","ICMP","176","â\234\223","","Destination unreachable (Port unreachable)"
"10911","328.508058","172.16.1.4","172.16.1.66","DNS","165","â\234\223","204.79.197.203","Standard query response 0x1e0e A srtb.msn.com CNAME www.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203"
"10912","328.508115","172.16.1.4","172.16.1.66","DNS","206","â\234\223","","Standard query response 0x3a50 Unknown (65) srtb.msn.com CNAME www.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net SOA ns1.a-msedge.net"
"10957","328.774345","172.16.1.4","172.16.1.66","DNS","188","â\234\223","","Standard query response 0xefe0 Unknown (65) th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net"
"10958","328.774462","172.16.1.4","172.16.1.66","DNS","332","â\234\223","23.198.7.168,23.198.7.183,23.198.7.167,23.198.7.172,23.198.7.169,23.198.7.182,23.198.7.170,23.198.7.175,23.198.7.174","Standard query response 0x4ce0 A th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.198.7.168 A 23.198.7.183 A 23.198.7.167 A 23.198.7.172 A 23.198.7.169 A 23.198.7.182 A 23.198.7.170 A 23.198.7.175 A 23.198.7.174"
"10959","328.774501","172.16.1.4","172.16.1.66","DNS","152","â\234\223","23.215.55.133,23.215.55.137","Standard query response 0xa4fd A img-s-msn-com.akamaized.net CNAME a1834.dscg2.akamai.net A 23.215.55.133 A 23.215.55.137"
"10972","328.829479","172.16.1.4","172.16.1.66","DNS","120","â\234\223","","Standard query response 0xd4c1 Unknown (65) img-s-msn-com.akamaized.net CNAME a1834.dscg2.akamai.net"
"11031","329.029355","172.16.1.4","172.16.1.66","DNS","186","â\234\223","23.46.192.165","Standard query response 0x1711 A ecn.dev.virtualearth.net CNAME ssl2.tiles.virtualearth.net.edgekey.net CNAME e4113.dscd.akamaiedge.net A 23.46.192.165"
"11039","329.079636","172.16.1.4","172.16.1.66","DNS","170","â\234\223","","Standard query response 0xf261 Unknown (65) ecn.dev.virtualearth.net CNAME ssl2.tiles.virtualearth.net.edgekey.net CNAME e4113.dscd.akamaiedge.net"
"11040","329.079739","172.16.1.66","172.16.1.4","ICMP","198","â\234\223","","Destination unreachable (Port unreachable)"
"11216","334.675752","172.16.1.4","172.16.1.66","DNS","176","â\234\223","","Standard query response 0x5ad7 No such name A wpad.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"11233","340.479704","172.16.1.4","172.16.1.66","DNS","192","â\234\223","23.194.164.136","Standard query response 0xf207 A javadl-esd-secure.oracle.com CNAME javadl-esd-secure.oracle.com.edgekey.net CNAME e13073.g.akamaiedge.net A 23.194.164.136"
"11476","511.060633","172.16.1.4","172.16.1.66","DNS","156","â\234\223","","Standard query response 0xff9d No such name A pti.store.microsoft.com SOA ns1-39.azure-dns.com"
